Logical Clock; Device Time; Event Code; Signal; Info; Segment Id; Event Code Id; Device Id; Signal Id
0; 2020-01-01 00:00:00; Time_Segment_Start; ; ; 8; 9; {C0E942B9-3928-4B81-9B43-A34766820042}; {00000000-0000-0000-0000-000000000000}
1; 2020-01-01 00:00:00; Level; Interstitial glucose; 5.27245; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2; 2020-01-01 00:00:00; Level; Blood glucose; 5.54994; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
3; 2020-01-01 00:00:00; Level; delivered insulin total; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {EE655943-06BF-4F9D-B27D-AACB3943FB91}
4; 2020-01-01 00:00:00; Level; IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {313A1C11-6BAC-46E2-8938-7353409F2FCD}
5; 2020-01-01 00:00:00; Level; Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {DD057B62-CBD9-45E2-B102-DE941049A55A}
6; 2020-01-01 00:00:00; Level; COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {B74AA581-538C-4B30-B764-5BD0D97B0727}
7; 2020-01-01 00:00:00; Level; Null (discards the events); 0; 8; 2; {C0E942B9-3928-4B81-9B43-A34766820042}; {706E7FDB-8F22-486F-BFA5-6A56D3514209}
9; 2020-01-01 00:04:59; Level; Interstitial glucose; 5.24837; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
10; 2020-01-01 00:04:59; Level; Blood glucose; 4.28189; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
11; 2020-01-01 00:04:59; Level; delivered insulin total; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {EE655943-06BF-4F9D-B27D-AACB3943FB91}
12; 2020-01-01 00:04:59; Level; IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {313A1C11-6BAC-46E2-8938-7353409F2FCD}
13; 2020-01-01 00:04:59; Level; Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {DD057B62-CBD9-45E2-B102-DE941049A55A}
14; 2020-01-01 00:04:59; Level; COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {B74AA581-538C-4B30-B764-5BD0D97B0727}
15; 2020-01-01 00:09:59; Level; Interstitial glucose; 5.09336; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
16; 2020-01-01 00:09:59; Level; Blood glucose; 3.83362; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
17; 2020-01-01 00:09:59; Level; delivered insulin total; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {EE655943-06BF-4F9D-B27D-AACB3943FB91}
18; 2020-01-01 00:09:59; Level; IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {313A1C11-6BAC-46E2-8938-7353409F2FCD}
19; 2020-01-01 00:09:59; Level; Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {DD057B62-CBD9-45E2-B102-DE941049A55A}
20; 2020-01-01 00:09:59; Level; COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {B74AA581-538C-4B30-B764-5BD0D97B0727}
21; 2020-01-01 00:14:59; Level; Interstitial glucose; 4.90562; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
22; 2020-01-01 00:14:59; Level; Blood glucose; 3.66921; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
23; 2020-01-01 00:14:59; Level; delivered insulin total; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {EE655943-06BF-4F9D-B27D-AACB3943FB91}
24; 2020-01-01 00:14:59; Level; IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {313A1C11-6BAC-46E2-8938-7353409F2FCD}
25; 2020-01-01 00:14:59; Level; Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {DD057B62-CBD9-45E2-B102-DE941049A55A}
26; 2020-01-01 00:14:59; Level; COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {B74AA581-538C-4B30-B764-5BD0D97B0727}
27; 2020-01-01 00:19:59; Level; Interstitial glucose; 4.72124; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
28; 2020-01-01 00:19:59; Level; Blood glucose; 3.60831; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
29; 2020-01-01 00:19:59; Level; delivered insulin total; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {EE655943-06BF-4F9D-B27D-AACB3943FB91}
30; 2020-01-01 00:19:59; Level; IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {313A1C11-6BAC-46E2-8938-7353409F2FCD}
31; 2020-01-01 00:19:59; Level; Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {DD057B62-CBD9-45E2-B102-DE941049A55A}
32; 2020-01-01 00:19:59; Level; COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {B74AA581-538C-4B30-B764-5BD0D97B0727}
33; 2020-01-01 00:24:59; Level; Interstitial glucose; 4.55191; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
