Logical Clock; Device Time; Event Code; Signal; Info; Segment Id; Event Code Id; Device Id; Signal Id;
0; 2020-11-11 08:24:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
1; 2020-11-11 08:24:11; Level; UVa/Padova S2013 - Blood glucose; 7.69; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
2; 2020-11-11 08:24:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.69; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
3; 2020-11-11 08:29:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
4; 2020-11-11 08:29:11; Level; UVa/Padova S2013 - Blood glucose; 7.69; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
5; 2020-11-11 08:29:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.69; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
6; 2020-11-11 08:34:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
7; 2020-11-11 08:34:11; Level; UVa/Padova S2013 - Blood glucose; 7.69001; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
8; 2020-11-11 08:34:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.69; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
9; 2020-11-11 08:39:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
10; 2020-11-11 08:39:11; Level; UVa/Padova S2013 - Blood glucose; 7.69008; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
11; 2020-11-11 08:39:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.69002; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
12; 2020-11-11 08:44:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
13; 2020-11-11 08:44:11; Level; UVa/Padova S2013 - Blood glucose; 7.69028; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
14; 2020-11-11 08:44:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.69007; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
15; 2020-11-11 08:49:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
16; 2020-11-11 08:49:11; Level; UVa/Padova S2013 - Blood glucose; 7.69073; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
17; 2020-11-11 08:49:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.69022; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
18; 2020-11-11 08:54:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
19; 2020-11-11 08:54:11; Level; UVa/Padova S2013 - Blood glucose; 7.69156; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
20; 2020-11-11 08:54:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.69054; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
21; 2020-11-11 08:59:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
22; 2020-11-11 08:59:11; Level; UVa/Padova S2013 - Blood glucose; 7.6929; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
