Logical Clock; Device Time; Event Code; Signal; Info; Segment Id; Event Code Id; Device Id; Signal Id;
1317; 2020-11-11 08:28:08; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
1318; 2020-11-11 08:28:08; Level; Blood glucose; 7.69; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
1321; 2020-11-11 08:28:08; Level; requested insulin basal rate; 2; 0; 2; {14A25F4C-E1B1-85C4-1274-9A0D11E09813}; {B5897BBD-1E32-408A-A0D5-C5BFECF447D9}
1322; 2020-11-11 08:28:08; Level; Interstitial glucose; 7.69; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
1323; 2020-11-11 08:28:08; Level; delivered insulin basal rate; 2; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {BF88A8CB-1290-4477-A2CF-BDD06DF628AB}
1324; 2020-11-11 08:33:08; Level; UVa/Padova S2013 - Delivered insulin; 0.166667; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
1325; 2020-11-11 08:33:08; Level; Blood glucose; 7.69; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
1328; 2020-11-11 08:33:08; Level; requested insulin basal rate; 2; 0; 2; {14A25F4C-E1B1-85C4-1274-9A0D11E09813}; {B5897BBD-1E32-408A-A0D5-C5BFECF447D9}
1329; 2020-11-11 08:33:08; Level; Interstitial glucose; 7.69; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
1330; 2020-11-11 08:33:08; Level; delivered insulin basal rate; 2; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {BF88A8CB-1290-4477-A2CF-BDD06DF628AB}
1331; 2020-11-11 08:38:08; Level; UVa/Padova S2013 - Delivered insulin; 0.166667; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
1332; 2020-11-11 08:38:08; Level; Blood glucose; 7.69; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
1335; 2020-11-11 08:38:08; Level; requested insulin basal rate; 2; 0; 2; {14A25F4C-E1B1-85C4-1274-9A0D11E09813}; {B5897BBD-1E32-408A-A0D5-C5BFECF447D9}
1336; 2020-11-11 08:38:08; Level; Interstitial glucose; 7.69; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
1337; 2020-11-11 08:38:08; Level; delivered insulin basal rate; 2; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {BF88A8CB-1290-4477-A2CF-BDD06DF628AB}
1338; 2020-11-11 08:43:08; Level; UVa/Padova S2013 - Delivered insulin; 0.166667; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
1339; 2020-11-11 08:43:08; Level; Blood glucose; 7.68996; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
1342; 2020-11-11 08:43:08; Level; requested insulin basal rate; 2; 0; 2; {14A25F4C-E1B1-85C4-1274-9A0D11E09813}; {B5897BBD-1E32-408A-A0D5-C5BFECF447D9}
1343; 2020-11-11 08:43:08; Level; Interstitial glucose; 7.68999; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
1344; 2020-11-11 08:43:08; Level; delivered insulin basal rate; 2; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {BF88A8CB-1290-4477-A2CF-BDD06DF628AB}
1345; 2020-11-11 08:48:08; Level; UVa/Padova S2013 - Delivered insulin; 0.166667; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
1346; 2020-11-11 08:48:08; Level; Blood glucose; 7.68984; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
1349; 2020-11-11 08:48:08; Level; requested insulin basal rate; 2; 0; 2; {14A25F4C-E1B1-85C4-1274-9A0D11E09813}; {B5897BBD-1E32-408A-A0D5-C5BFECF447D9}
1350; 2020-11-11 08:48:08; Level; Interstitial glucose; 7.68996; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
1351; 2020-11-11 08:48:08; Level; delivered insulin basal rate; 2; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {BF88A8CB-1290-4477-A2CF-BDD06DF628AB}
1352; 2020-11-11 08:53:08; Level; UVa/Padova S2013 - Delivered insulin; 0.166667; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
1353; 2020-11-11 08:53:08; Level; Blood glucose; 7.68958; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
1356; 2020-11-11 08:53:08; Level; requested insulin basal rate; 2; 0; 2; {14A25F4C-E1B1-85C4-1274-9A0D11E09813}; {B5897BBD-1E32-408A-A0D5-C5BFECF447D9}
1357; 2020-11-11 08:53:08; Level; Interstitial glucose; 7.68987; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
1358; 2020-11-11 08:53:08; Level; delivered insulin basal rate; 2; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {BF88A8CB-1290-4477-A2CF-BDD06DF628AB}
1359; 2020-11-11 08:58:08; Level; UVa/Padova S2013 - Delivered insulin; 0.166667; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
1360; 2020-11-11 08:58:08; Level; Blood glucose; 7.6891; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
1363; 2020-11-11 08:58:08; Level; requested insulin basal rate; 2; 0; 2; {14A25F4C-E1B1-85C4-1274-9A0D11E09813}; {B5897BBD-1E32-408A-A0D5-C5BFECF447D9}
1364; 2020-11-11 08:58:08; Level; Interstitial glucose; 7.68969; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
1365; 2020-11-11 08:58:08; Level; delivered insulin basal rate; 2; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {BF88A8CB-1290-4477-A2CF-BDD06DF628AB}
1366; 2020-11-11 09:03:08; Level; UVa/Padova S2013 - Delivered insulin; 0.166667; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
1367; 2020-11-11 09:03:08; Level; Blood glucose; 7.68833; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
1370; 2020-11-11 09:03:08; Level; requested insulin basal rate; 2; 0; 2; {14A25F4C-E1B1-85C4-1274-9A0D11E09813}; {B5897BBD-1E32-408A-A0D5-C5BFECF447D9}
1371; 2020-11-11 09:03:08; Level; Interstitial glucose; 7.68935; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
1372; 2020-11-11 09:03:08; Level; delivered insulin basal rate; 2; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {BF88A8CB-1290-4477-A2CF-BDD06DF628AB}
1373; 2020-11-11 09:08:08; Level; UVa/Padova S2013 - Delivered insulin; 0.166667; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
1374; 2020-11-11 09:08:08; Level; Blood glucose; 7.68718; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
1377; 2020-11-11 09:08:08; Level; requested insulin basal rate; 2; 0; 2; {14A25F4C-E1B1-85C4-1274-9A0D11E09813}; {B5897BBD-1E32-408A-A0D5-C5BFECF447D9}
1378; 2020-11-11 09:08:08; Level; Interstitial glucose; 7.6888; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
1379; 2020-11-11 09:08:08; Level; delivered insulin basal rate; 2; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {BF88A8CB-1290-4477-A2CF-BDD06DF628AB}
