Logical Clock; Device Time; Event Code; Signal; Info; Segment Id; Event Code Id; Device Id; Signal Id;
2339; 2020-11-11 08:33:00; Time_Segment_Start; ; ; 1; 9; {CF42445D-9526-4414-A13D-2F54B9592798}; {00000000-0000-0000-0000-000000000000}
2340; 2020-11-11 08:38:00; Level; Blood glucose; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2341; 2020-11-11 08:38:00; Level; Calibration; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2342; 2020-11-11 08:38:00; Level; Interstitial glucose; 10.9389; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2343; 2020-11-11 08:43:00; Level; Blood glucose; 9.54508; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2344; 2020-11-11 08:43:00; Level; Calibration; 9.54508; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2345; 2020-11-11 08:43:00; Level; Interstitial glucose; 12.7553; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2346; 2020-11-11 08:48:00; Level; Blood glucose; 6.45492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2347; 2020-11-11 08:48:00; Level; Calibration; 6.45492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2348; 2020-11-11 08:48:00; Level; Interstitial glucose; 12.7553; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2349; 2020-11-11 08:53:00; Level; Blood glucose; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2350; 2020-11-11 08:53:00; Level; Calibration; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2351; 2020-11-11 08:53:00; Level; Interstitial glucose; 10.9389; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2352; 2020-11-11 08:58:00; Level; Blood glucose; 3; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2353; 2020-11-11 08:58:00; Level; Calibration; 3; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2354; 2020-11-11 08:58:00; Level; Interstitial glucose; 8; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2355; 2020-11-11 09:03:00; Level; Blood glucose; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2356; 2020-11-11 09:03:00; Level; Calibration; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2357; 2020-11-11 09:03:00; Level; Interstitial glucose; 5.06107; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2358; 2020-11-11 09:08:00; Level; Blood glucose; 6.45492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2359; 2020-11-11 09:08:00; Level; Calibration; 6.45492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2360; 2020-11-11 09:08:00; Level; Interstitial glucose; 3.24472; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2361; 2020-11-11 09:13:00; Level; Blood glucose; 9.54508; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2362; 2020-11-11 09:13:00; Level; Calibration; 9.54508; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2363; 2020-11-11 09:13:00; Level; Interstitial glucose; 3.24472; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2364; 2020-11-11 09:18:00; Level; Blood glucose; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2365; 2020-11-11 09:18:00; Level; Calibration; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2366; 2020-11-11 09:18:00; Level; Interstitial glucose; 5.06107; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2367; 2020-11-11 09:23:00; Level; Blood glucose; 13; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2368; 2020-11-11 09:23:00; Level; Calibration; 13; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2369; 2020-11-11 09:23:00; Level; Interstitial glucose; 8; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2370; 2020-11-11 09:28:00; Level; Blood glucose; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2371; 2020-11-11 09:28:00; Level; Calibration; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2372; 2020-11-11 09:28:00; Level; Interstitial glucose; 10.9389; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2373; 2020-11-11 09:33:00; Level; Blood glucose; 9.54509; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2374; 2020-11-11 09:33:00; Level; Calibration; 9.54509; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2375; 2020-11-11 09:33:00; Level; Interstitial glucose; 12.7553; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2376; 2020-11-11 09:38:00; Level; Blood glucose; 6.45492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2377; 2020-11-11 09:38:00; Level; Calibration; 6.45492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2378; 2020-11-11 09:38:00; Level; Interstitial glucose; 12.7553; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2379; 2020-11-11 09:43:00; Level; Blood glucose; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
